Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"random (depth: 5, size: 79)/ALaCarte.desugarEval'",3.515539170927871e-5,3.292302038668779e-5,3.776659289588068e-5,1.2415352506688782e-5,1.098784514605925e-5,1.3876806899997245e-5
"random (depth: 5, size: 79)/Standard.desugarEval",3.5780945742955867e-6,3.3375422091337867e-6,3.857096927484046e-6,1.3243196491686347e-6,1.1669966396484054e-6,1.478085117336753e-6
"random (depth: 5, size: 79)/ALaCarte.evalSugar",1.4794326450765162e-5,1.3799398495368913e-5,1.5958499487077176e-5,5.518250804524489e-6,4.841255567029127e-6,6.154494880411677e-6
"random (depth: 5, size: 79)/ALaCarte.evalDirect",1.234983932373384e-5,1.155794456159426e-5,1.3281103638170213e-5,4.379230396830083e-6,3.880582914142049e-6,4.906373638935757e-6
"random (depth: 5, size: 79)/Standard.evalSugar",1.3281173073698148e-6,1.2413857006064115e-6,1.4291213042745069e-6,4.770283017238946e-7,4.212624296194117e-7,5.360887037062325e-7
"random (depth: 5, size: 79)/ALaCarte.desugarEval2",6.79058926743451e-6,6.341754140780021e-6,7.309043117709562e-6,2.461128707641719e-6,2.1565056300108216e-6,2.7621438490705993e-6
"random (depth: 5, size: 79)/ALaCarte.desugarEval2'",5.031236150275558e-6,4.690945468751386e-6,5.43162084752797e-6,1.8860428840404231e-6,1.6557020848426093e-6,2.1085160867607477e-6
"random (depth: 5, size: 79)/Standard.desugarEval2",8.023163150841902e-7,7.472497106253915e-7,8.670136813005121e-7,3.071996168279643e-7,2.7133669621691823e-7,3.4992946381390556e-7
"random (depth: 5, size: 79)/ALaCarte.evalSugar2",1.4070982414640264e-6,1.3148003324540158e-6,1.5131006187733604e-6,5.066321624219082e-7,4.5370829605674016e-7,5.601905904747832e-7
"random (depth: 5, size: 79)/ALaCarte.evalDirect2",1.3786032530055314e-6,1.2956199374505431e-6,1.4901039892873372e-6,4.881280460876212e-7,3.965664024227636e-7,5.870556665912654e-7
"random (depth: 5, size: 79)/Standard.evalSugar2",1.5014305315473688e-7,1.4716366857196426e-7,1.5765122927137096e-7,2.1129023401355776e-8,8.075650169487341e-10,3.8744041794430106e-8
"random (depth: 5, size: 79)/ALaCarte.contVar",9.898676031138962e-6,9.350816971355152e-6,1.0665737751817774e-5,3.2803692129316055e-6,2.5370648010165048e-6,4.072448980415809e-6
"random (depth: 5, size: 79)/ALaCarte.contVar'",4.648600893424988e-6,4.38941912287868e-6,5.0083072576569684e-6,1.551196655247516e-6,1.2059568258537556e-6,1.917985502432126e-6
"random (depth: 5, size: 79)/Standard.contVar",7.81109515662666e-7,7.706580669872396e-7,8.304535755110644e-7,1.0011932782681737e-7,5.2475504424349815e-9,2.3840007874398534e-7
"random (depth: 5, size: 79)/ALaCarte.freeVars",1.3620059330794963e-5,1.3603168549768474e-5,1.365057355091181e-5,1.1299244647527385e-7,7.372539893728248e-8,1.9656380765048316e-7
"random (depth: 5, size: 79)/ALaCarte.freeVars'",1.0078931729849304e-5,9.708774553798657e-6,1.0871761591043934e-5,2.649564112729256e-6,1.493517909889776e-6,4.691218347569931e-6
"random (depth: 5, size: 79)/Standard.freeVars",9.530015015070628e-6,8.909056553334819e-6,1.0230822843190857e-5,3.3865529743807576e-6,3.061924154720135e-6,3.712790070677864e-6
"random (depth: 10, size: 749)/ALaCarte.desugar",1.9862066133889328e-7,1.8460268553908877e-7,2.158788093333115e-7,7.903713934890905e-8,6.69589219537444e-8,9.306423585400896e-8
"random (depth: 10, size: 749)/Standard.desugar",3.2911662978582613e-5,3.064802116485724e-5,3.551499993338388e-5,1.2470100721189341e-5,1.1022863041817538e-5,1.3892272492281247e-5
"random (depth: 10, size: 749)/ALaCarte.desugarType",2.6098147960265926e-4,2.6067015513173765e-4,2.613997787255198e-4,1.8266001319927842e-6,1.4588806951503933e-6,2.67335310701659e-6
"random (depth: 10, size: 749)/ALaCarte.desugarType'",2.560334157020628e-4,2.5574053730015604e-4,2.5641607752152087e-4,1.7060949836339664e-6,1.3739602451894148e-6,2.2456852333694458e-6
"random (depth: 10, size: 749)/Standard.desugarType",6.591564072331706e-5,6.17116133685998e-5,7.084950211804034e-5,2.328147481998691e-5,2.022555534955174e-5,2.63101621167874e-5
"random (depth: 10, size: 749)/ALaCarte.typeSugar",1.5637608428872252e-4,1.4560295535534574e-4,1.6854939255525622e-4,5.859604155767566e-5,5.253673352769678e-5,6.504732893318972e-5
"random (depth: 10, size: 749)/Standard.typeSugar",4.285736676170101e-5,4.000456808854965e-5,4.6069773653265985e-5,1.5567027773450645e-5,1.404372192082601e-5,1.7265954773134108e-5
"random (depth: 10, size: 749)/ALaCarte.desugarType2",3.119948981883121e-4,2.89595896536972e-4,3.3759315927975645e-4,1.225429536792917e-4,1.1030727273164048e-4,1.3541470232116288e-4
"random (depth: 10, size: 749)/ALaCarte.desugarType2'",3.341729090420031e-4,3.119030452106334e-4,3.614572175257292e-4,1.260324689761217e-4,1.0733785414620618e-4,1.4484827734438394e-4
"random (depth: 10, size: 749)/Standard.desugarType2",8.403456604883502e-5,7.845269582529838e-5,9.03003941525653e-5,3.05490992702525e-5,2.7776984328743348e-5,3.323310429433949e-5
"random (depth: 10, size: 749)/ALaCarte.typeSugar2",9.840253719331628e-5,9.030988076581607e-5,1.0807641969721502e-4,4.51128947215315e-5,3.8828604759275916e-5,5.167294593055125e-5
"random (depth: 10, size: 749)/Standard.typeSugar2",4.1941613319791334e-5,3.903254978617842e-5,4.519837314557677e-5,1.5811483079837707e-5,1.4338349971649643e-5,1.7454536521157155e-5
"random (depth: 10, size: 749)/ALaCarte.desugarEval",3.934541785736584e-4,3.6555579883907415e-4,4.259154130750885e-4,1.5332779732940148e-4,1.3660161715081337e-4,1.7383381020321534e-4
"random (depth: 10, size: 749)/ALaCarte.desugarEval'",3.652993745113537e-4,3.407930375774961e-4,3.93330762355955e-4,1.3426805051359685e-4,1.1949190490860065e-4,1.480500701115329e-4
"random (depth: 10, size: 749)/Standard.desugarEval",3.450359410281461e-5,3.2108098870909484e-5,3.722609338691651e-5,1.2960785823415917e-5,1.1602096834761536e-5,1.4318613973657015e-5
"random (depth: 10, size: 749)/ALaCarte.evalSugar",1.631532828730837e-4,1.5194479972205656e-4,1.7583031093871976e-4,6.108347407201103e-5,5.473912986657247e-5,6.755705927632726e-5
"random (depth: 10, size: 749)/ALaCarte.evalDirect",1.0773473879537685e-4,1.0070407526753522e-4,1.1594613748326517e-4,3.903384443493919e-5,3.4678985606794885e-5,4.534303169223793e-5
"random (depth: 10, size: 749)/Standard.evalSugar",1.930968033050346e-5,1.8018931229425653e-5,2.0812004883600445e-5,7.175798125365046e-6,6.2974820697940505e-6,8.080835461244601e-6
"random (depth: 10, size: 749)/ALaCarte.desugarEval2",1.343028807763665e-4,1.2554651434582204e-4,1.4440710690743165e-4,4.8152887804194306e-5,4.2589611462168186e-5,5.388757356732807e-5
"random (depth: 10, size: 749)/ALaCarte.desugarEval2'",9.143147375354533e-5,8.571500717423782e-5,9.800370084231786e-5,3.1556915958146814e-5,2.7894580026841926e-5,3.5679566672595785e-5
